序号,房屋编号,面积,总价,装修情况,均价
1,N101106332605,29平米,18万,毛坯,6207元/平米
2,N101106574068,20.81平米,20万,毛坯,9611元/平米
3,N101106574128,39.7平米,22万,毛坯,5542元/平米
4,N101105102866,38.66平米,23万,毛坯,5950元/平米
5,N101105738191,29.64平米,24万,毛坯,8098元/平米
6,N101106106062,38.17平米,25万,毛坯,6550元/平米
7,N101104734502,38.72平米,26万,毛坯,6715元/平米
8,N101106574078,39.5平米,27万,毛坯,6836元/平米
9,N101106684165,42.72平米,27万,毛坯,6321元/平米
10,N101103587625,44.58平米,28万,毛坯,6281元/平米
11,N101105885146,46.12平米,30万,其他,6505元/平米
12,N101106574048,20.89平米,30万,精装,14361元/平米
13,N101105037884,38.7平米,30万,毛坯,7752元/平米
14,N101106574046,38.66平米,30万,毛坯,7760元/平米
15,N101106574057,39.3平米,30万,毛坯,7634元/平米
16,N101106574123,39.7平米,30万,毛坯,7557元/平米
17,N101106574071,38.66平米,30万,毛坯,7760元/平米
18,N101106600369,41平米,30万,毛坯,7318元/平米
19,N101106647329,39平米,30万,其他,7693元/平米
20,N101106752864,41.85平米,30万,其他,7169元/平米
21,N101105728049,40平米,32万,毛坯,8000元/平米
22,N101106574091,41平米,32万,毛坯,7805元/平米
23,N101106574087,42平米,32万,毛坯,7620元/平米
24,N101106574033,38.6平米,32万,精装,8291元/平米
25,N101106635999,40平米,32万,其他,8000元/平米
26,N101106574055,41.8平米,34万,精装,8134元/平米
27,N101106574036,45.43平米,34万,精装,7485元/平米
28,N101103804082,44.4平米,34万,毛坯,7658元/平米
29,N101106487713,45.25平米,35万,毛坯,7735元/平米
30,N101106434885,41.98平米,35万,毛坯,8338元/平米
31,N101106404608,40.34平米,35万,毛坯,8677元/平米
32,N101105761825,46平米,35万,毛坯,7609元/平米
33,N101105295320,45.52平米,35万,毛坯,7689元/平米
34,N101105549522,40平米,35万,精装,8750元/平米
35,N101106574049,40平米,36万,毛坯,9000元/平米
36,N101106310033,45平米,36万,毛坯,8000元/平米
37,N101106233904,44.4平米,36万,毛坯,8109元/平米
38,N101106574684,40.34平米,36万,精装,8925元/平米
39,N101106799628,46平米,37万,其他,8044元/平米
40,N101106432802,41平米,38万,毛坯,9269元/平米
41,N101106574052,47.1平米,38万,简装,8068元/平米
42,N101106172021,46.38平米,38万,毛坯,8194元/平米
43,N101106188297,44.52平米,38万,毛坯,8536元/平米
44,N101105342904,45平米,39万,复式/其他,8667元/平米
45,N101106158169,40平米,39万,毛坯,9750元/平米
46,N101106506843,92平米,39万,简装,4240元/平米
47,N101106664658,46.12平米,40万,毛坯,8674元/平米
48,N101106574058,52.25平米,40万,毛坯,7656元/平米
49,N101106574075,45平米,40万,毛坯,8889元/平米
50,N101106574077,58平米,40万,毛坯,6897元/平米
51,N101106574088,44.9平米,40万,毛坯,8909元/平米
52,N101105810667,45.6平米,40万,简装,8772元/平米
53,N101106768956,41平米,40万,其他,9757元/平米
54,N101106074334,93平米,40万,精装,4302元/平米
55,N101106295857,39.49平米,40万,毛坯,10130元/平米
56,N101106583519,44.58平米,40万,毛坯,8973元/平米
57,N101106743491,39平米,40万,其他,10257元/平米
58,N101106084570,38.5平米,41万,精装,10650元/平米
59,N101106574074,45.5平米,42万,毛坯,9231元/平米
60,N101106574099,59平米,42万,毛坯,7119元/平米
61,N101106574089,58.1平米,43万,毛坯,7402元/平米
62,N101106450149,54.7平米,43万,毛坯,7862元/平米
63,N101106227031,56.87平米,44万,毛坯,7737元/平米
64,N101106574051,59平米,45万,毛坯,7628元/平米
65,N101106424833,45平米,45万,精装,10000元/平米
66,N101105896989,97平米,45万,精装,4640元/平米
67,N101105990440,47.5平米,45万,精装,9474元/平米
68,N101106621070,56.87平米,45万,毛坯,7913元/平米
69,N101106621232,56.87平米,45万,毛坯,7913元/平米
70,N101106578906,45平米,45万,简装,10000元/平米
71,N101106736943,41.85平米,45万,其他,10753元/平米
72,N101105566967,48平米,46万,精装,9584元/平米
73,N101106574080,46平米,50万,毛坯,10870元/平米
74,N101106574083,47平米,50万,毛坯,10639元/平米
75,N101104650923,71.48平米,50万,毛坯,6995元/平米
76,N101106574106,58.5平米,50万,毛坯,8548元/平米
77,N101106574126,46.5平米,50万,毛坯,10753元/平米
78,N101106574105,47.5平米,50万,毛坯,10527元/平米
79,N101106761980,45.2平米,50万,其他,11062元/平米
80,N101106574692,59.49平米,51万,毛坯,8573元/平米
81,N101106198262,55平米,52万,毛坯,9455元/平米
82,N101105965720,53.6平米,52万,精装,9702元/平米
83,N101106376421,54.46平米,55万,毛坯,10100元/平米
84,N101106574061,41.4平米,55万,毛坯,13286元/平米
85,N101105030268,71.48平米,55万,毛坯,7695元/平米
86,N101106252924,70平米,55万,毛坯,7858元/平米
87,N101106723588,56.3平米,55万,其他,9770元/平米
88,N101106732817,54.64平米,55万,其他,10066元/平米
89,N101106742479,55平米,55万,其他,10000元/平米
90,N101106583720,57.91平米,58万,毛坯,10016元/平米
91,N101106150731,55平米,58万,简装,10546元/平米
92,N101106574090,57平米,60万,精装,10527元/平米
93,N101106434478,58.7平米,60万,毛坯,10222元/平米
94,N101105729529,80平米,64万,平层/毛坯,8000元/平米
95,N101106574072,55平米,65万,精装,11819元/平米
96,N101106103766,116平米,65万,精装,5604元/平米
97,N101105816350,56.16平米,65万,简装,11575元/平米
98,N101106394191,140平米,65万,毛坯,4643元/平米
99,N101106494100,140平米,66万,毛坯,4715元/平米
100,N101104404136,143平米,68万,毛坯,4756元/平米
101,N101106726919,78.6平米,70万,其他,8906元/平米
102,N101106708758,110平米,110万,毛坯,10000元/平米
103,N101104940937,110平米,110万,简装,10000元/平米
104,N101104941068,110平米,110万,毛坯,10000元/平米
105,N101106726735,133平米,115万,其他,8647元/平米
106,N101106726215,113.93平米,150万,其他,13166元/平米
107,N101106150669,143平米,165万,毛坯,11539元/平米
108,N101106574102,143平米,165万,毛坯,11539元/平米
109,N101106732609,145平米,180万,其他,12414元/平米
110,N101106475919,192.8平米,200万,毛坯,10374元/平米
111,N101106256325,120平米,200万,毛坯,16667元/平米
